id,vendor,current_price,nowtime
716683,Voila,6.49,2024-06-13 11:37:00
716683,Voila,6.49,2024-06-14 11:45:00
716683,Voila,6.49,2024-06-15 13:10:00
716683,Voila,6.49,2024-06-16 11:02:00
716683,Voila,6.49,2024-06-17 11:31:00
716683,Voila,6.49,2024-06-18 08:15:00
716683,Voila,6.49,2024-06-19 09:30:00
716683,Voila,6.49,2024-08-08 14:23:00
716683,Voila,6.49,2024-08-09 13:53:00
716683,Voila,6.49,2024-08-10 12:13:00
716683,Voila,6.49,2024-08-11 13:08:00
716683,Voila,6.49,2024-08-12 11:22:00
716683,Voila,6.49,2024-08-13 09:48:00
716683,Voila,6.49,2024-08-14 11:08:00
716683,Voila,6.49,2024-08-15 09:58:00
716683,Voila,6.49,2024-08-16 09:59:00
716683,Voila,6.49,2024-08-17 10:31:00
716683,Voila,6.49,2024-08-18 12:03:00
716683,Voila,6.49,2024-08-19 09:58:00
716683,Voila,6.49,2024-08-21 09:37:00
716683,Voila,6.49,2024-08-22 11:27:00
716683,Voila,6.49,2024-08-23 11:32:00
716683,Voila,6.49,2024-08-24 11:51:00
716683,Voila,6.49,2024-08-25 11:42:00
716683,Voila,6.49,2024-08-28 10:30:00
716683,Voila,6.49,2024-08-29 09:19:00
716683,Voila,6.49,2024-08-30 10:38:00
716683,Voila,6.49,2024-08-31 12:59:00
716683,Voila,6.49,2024-09-01 12:09:00
716683,Voila,6.49,2024-09-02 11:47:00
716683,Voila,6.49,2024-09-03 14:33:00
716683,Voila,6.49,2024-09-04 11:11:00
716683,Voila,6.49,2024-09-12 11:24:00
716683,Voila,6.49,2024-09-13 10:45:00
716683,Voila,6.49,2024-09-14 11:23:00
716683,Voila,6.49,2024-09-15 14:42:00
716683,Voila,6.49,2024-09-16 12:48:00
716683,Voila,6.49,2024-09-17 11:47:00
716683,Voila,6.49,2024-09-18 11:14:00
716683,Voila,6.49,2024-09-19 11:33:00
716683,Voila,6.49,2024-09-20 11:03:00
716683,Voila,6.49,2024-09-21 10:40:00
716683,Voila,6.49,2024-09-22 10:32:00
716683,Voila,6.49,2024-09-23 09:23:00
716683,Voila,6.49,2024-09-24 10:56:00
716683,Voila,6.49,2024-09-25 10:35:00
716683,Voila,6.49,2024-09-27 11:22:00
716683,Voila,6.49,2024-09-28 11:58:00
716683,Voila,6.49,2024-09-30 11:13:00
716683,Voila,6.49,2024-10-01 11:46:00
716683,Voila,6.49,2024-10-02 09:40:00
716683,Voila,6.49,2024-10-03 09:48:00
716683,Voila,6.49,2024-10-03 09:49:00
716683,Voila,6.49,2024-10-04 10:28:00
716683,Voila,6.49,2024-10-04 10:28:00
716683,Voila,6.49,2024-10-05 12:00:00
716683,Voila,6.49,2024-10-05 12:01:00
716683,Voila,6.49,2024-10-06 12:52:00
716683,Voila,6.49,2024-10-06 12:53:00
716683,Voila,6.49,2024-10-07 10:26:00
716683,Voila,6.49,2024-10-07 10:26:00
716683,Voila,6.49,2024-10-08 11:35:00
716683,Voila,6.49,2024-10-08 11:36:00
716683,Voila,6.49,2024-10-09 09:52:00
716683,Voila,6.49,2024-10-09 09:53:00
716683,Voila,6.49,2024-10-10 09:59:00
716683,Voila,6.49,2024-10-10 09:59:00
716683,Voila,6.49,2024-10-11 10:44:00
716683,Voila,6.49,2024-10-11 10:45:00
716683,Voila,6.49,2024-10-12 11:20:00
716683,Voila,6.49,2024-10-12 11:21:00
716683,Voila,6.49,2024-10-13 10:49:00
716683,Voila,6.49,2024-10-13 10:49:00
716683,Voila,6.49,2024-10-14 11:52:00
716683,Voila,6.49,2024-10-14 11:53:00
716683,Voila,6.49,2024-10-16 10:39:00
716683,Voila,6.49,2024-10-16 10:40:00
716683,Voila,6.49,2024-10-24 09:09:00
716683,Voila,6.49,2024-10-24 09:59:00
716683,Voila,6.49,2024-10-24 10:00:00
716683,Voila,6.49,2024-10-25 10:11:00
716683,Voila,6.49,2024-10-26 10:49:00
716683,Voila,6.49,2024-10-26 11:41:00
716683,Voila,6.49,2024-10-26 11:42:00
716683,Voila,6.49,2024-10-27 11:16:00
716683,Voila,6.49,2024-10-27 12:09:00
716683,Voila,6.49,2024-10-27 12:10:00
716683,Voila,6.49,2024-10-28 09:25:00
716683,Voila,6.49,2024-10-28 10:14:00
716683,Voila,6.49,2024-10-28 10:15:00
716683,Voila,6.49,2024-10-29 12:47:00
716683,Voila,6.49,2024-10-29 13:32:00
716683,Voila,6.49,2024-10-29 13:33:00
716683,Voila,6.49,2024-10-30 11:14:00
716683,Voila,6.49,2024-10-30 12:11:00
716683,Voila,6.49,2024-10-30 12:12:00
716683,Voila,6.49,2024-10-31 09:19:00
716683,Voila,6.49,2024-10-31 10:15:00
716683,Voila,6.49,2024-11-01 11:27:00
716683,Voila,6.49,2024-11-01 12:15:00
716683,Voila,6.49,2024-11-02 17:29:00
716683,Voila,6.49,2024-11-02 17:58:00
716683,Voila,6.49,2024-11-03 16:01:00
716683,Voila,6.49,2024-11-03 16:51:00
716683,Voila,6.49,2024-11-04 10:52:00
716683,Voila,6.49,2024-11-04 11:39:00
716683,Voila,6.49,2024-11-05 11:43:00
716683,Voila,6.49,2024-11-05 12:32:00
716683,Voila,6.49,2024-11-06 10:24:00
716683,Voila,6.49,2024-11-06 11:14:00
1704661,Loblaws,5.99,2024-09-23 09:59:00
1704661,Loblaws,5.99,2024-09-24 11:36:00
1704661,Loblaws,5.99,2024-09-25 11:19:00
1704661,Loblaws,5.99,2024-09-26 11:53:00
1704661,Loblaws,5.99,2024-09-27 12:09:00
1704661,Loblaws,5.99,2024-09-28 12:47:00
1704661,Loblaws,5.99,2024-09-29 12:09:00
1704661,Loblaws,5.99,2024-09-30 12:02:00
1704661,Loblaws,5.99,2024-10-01 12:34:00
1704661,Loblaws,5.99,2024-10-02 10:33:00
1704661,Loblaws,5.99,2024-10-03 10:40:00
1704661,Loblaws,5.99,2024-10-04 11:05:00
1704661,Loblaws,5.99,2024-10-05 13:07:00
1704661,Loblaws,5.99,2024-10-06 14:07:00
1704661,Loblaws,5.99,2024-10-07 11:17:00
1704661,Loblaws,5.99,2024-10-08 12:32:00
1704661,Loblaws,5.99,2024-10-09 10:45:00
1704661,Loblaws,5.99,2024-10-17 11:42:00
1704661,Loblaws,5.99,2024-10-18 13:44:00
1704661,Loblaws,5.99,2024-10-19 11:49:00
1704661,Loblaws,5.99,2024-10-20 18:36:00
1704661,Loblaws,5.99,2024-10-21 10:48:00
1704661,Loblaws,5.99,2024-10-22 11:14:00
1704661,Loblaws,5.99,2024-10-23 12:59:00
1704661,Loblaws,5.99,2024-10-24 11:06:00
1704661,Loblaws,5.99,2024-10-25 12:23:00
1704661,Loblaws,5.99,2024-10-26 13:05:00
1704661,Loblaws,5.99,2024-10-27 13:26:00
1704661,Loblaws,5.99,2024-10-28 11:25:00
1704661,Loblaws,5.99,2024-10-29 14:25:00
1704661,Loblaws,5.99,2024-10-30 13:33:00
1704661,Loblaws,6.49,2024-10-31 11:30:00
1704661,Loblaws,6.49,2024-11-01 13:17:00
1704661,Loblaws,6.49,2024-11-02 12:24:00
1704661,Loblaws,6.49,2024-11-03 18:03:00
1704661,Loblaws,6.49,2024-11-04 12:53:00
1704661,Loblaws,6.49,2024-11-05 13:38:00
1704661,Loblaws,6.49,2024-11-06 12:14:00
1704661,Loblaws,6.49,2024-11-07 10:59:00
1704661,Loblaws,6.49,2024-11-08 12:29:00
1704661,Loblaws,6.49,2024-11-09 13:29:00
1704661,Loblaws,6.49,2024-11-10 12:39:00
1704661,Loblaws,6.49,2024-11-11 13:04:00
1704661,Loblaws,6.49,2024-11-12 12:09:00
1704661,Loblaws,6.49,2024-11-13 12:07:00
1704661,Loblaws,6.49,2024-11-14 11:09:00
